"Media" "Media.Detailed" "year" "spendings"
"113" "Specialty Item Distribution" "Specialty Item Distribution" 1977 35797
"114" "Public Entertainment" "Public Entertainment" 1977 9538
"115" "Direct Mail" "Direct Mail" 1977 NA
"116" "Endorsements & Testimonials" "Endorsements & Testimonials" 1977 NA
"117" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1977 NA
"118" "Coupons & Retail-Value-Added" "Coupons" 1977 0
"119" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1977 0
"120" "Internet" "Internet" 1977 NA
"121" "Price Discounts" "Price Discounts" 1977 NA
"122" "Promotional Allowances" "Promotional Allowances _ Retailers" 1977 0
"123" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1977 0
"124" "Promotional Allowances" "Promotional Allowances _  Other" 1977 0
"125" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1977 0
"126" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1977 0
"127" "Public Entertainment" "Public Entertainment _ Adult-Only" 1977 0
"128" "Public Entertainment" "Public Entertainment _ General-Audience" 1977 0
"129" "Sponsorships" "Sponsorships" 1977 NA
"130" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1977 0
"131" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1977 0
"132" "Internet" "Company Website" 1977 0
"133" "Internet" "Internet _ Other" 1977 0
"134" "Telephone" "Telephone" 1977 NA
"135" "Price Discounts" "Price Discounts - Retailers" 1977 0
"136" "Price Discounts" "Price Discounts - Wholesalers" 1977 0
"137" "Audio-Visual" "Audio-Visual" 1977 0
"138" "Socail Media" "Socail Media" 1977 0
"139" "Other" "Other" 1977 26157
"140" "Total" "Total" 1977 779463
"141" "Newspapers" "Newspapers" 1978 186947
"142" "Magazines" "Magazines" 1978 184236
"143" "Outdoor" "Outdoor" 1978 14901
"144" "Transit" "Transit" 1978 22899
"145" "Point-of-Sale" "Point-of-Sale" 1978 57384
"146" "Promotional Allowances" "Promotional Allowances" 1978 125148
"147" "Sampling Distribution" "Sampling Distribution" 1978 47376
"148" "Specialty Item Distribution" "Specialty Item Distribution" 1978 48281
"149" "Public Entertainment" "Public Entertainment" 1978 1159
"150" "Direct Mail" "Direct Mail" 1978 NA
"151" "Endorsements & Testimonials" "Endorsements & Testimonials" 1978 NA
"152" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1978 NA
"153" "Coupons & Retail-Value-Added" "Coupons" 1978 0
"154" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1978 0
"155" "Internet" "Internet" 1978 NA
"156" "Price Discounts" "Price Discounts" 1978 NA
"157" "Promotional Allowances" "Promotional Allowances _ Retailers" 1978 0
"158" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1978 0
"159" "Promotional Allowances" "Promotional Allowances _  Other" 1978 0
"160" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1978 0
"161" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1978 0
"162" "Public Entertainment" "Public Entertainment _ Adult-Only" 1978 0
"163" "Public Entertainment" "Public Entertainment _ General-Audience" 1978 0
"164" "Sponsorships" "Sponsorships" 1978 NA
"165" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1978 0
"166" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1978 0
"167" "Internet" "Company Website" 1978 0
"168" "Internet" "Internet _ Other" 1978 0
"169" "Telephone" "Telephone" 1978 NA
"170" "Price Discounts" "Price Discounts - Retailers" 1978 0
"171" "Price Discounts" "Price Discounts - Wholesalers" 1978 0
"172" "Audio-Visual" "Audio-Visual" 1978 0
"173" "Socail Media" "Socail Media" 1978 0
"174" "Other" "Other" 1978 421
"175" "Total" "Total" 1978 874971
"176" "Newspapers" "Newspapers" 1979 240978
"177" "Magazines" "Magazines" 1979 257715
"178" "Outdoor" "Outdoor" 1979 162966
"179" "Transit" "Transit" 1979 21151
"180" "Point-of-Sale" "Point-of-Sale" 1979 66096
"181" "Promotional Allowances" "Promotional Allowances" 1979 137111
"182" "Sampling Distribution" "Sampling Distribution" 1979 64286
"183" "Specialty Item Distribution" "Specialty Item Distribution" 1979 62029
"184" "Public Entertainment" "Public Entertainment" 1979 10783
"185" "Direct Mail" "Direct Mail" 1979 NA
"186" "Endorsements & Testimonials" "Endorsements & Testimonials" 1979 NA
"187" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1979 NA
"188" "Coupons & Retail-Value-Added" "Coupons" 1979 0
"189" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1979 0
"190" "Internet" "Internet" 1979 NA
"191" "Price Discounts" "Price Discounts" 1979 NA
"192" "Promotional Allowances" "Promotional Allowances _ Retailers" 1979 0
"193" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1979 0
