"Media" "Media.Detailed" "year" "spendings"
"926" "Price Discounts" "Price Discounts" 2000 NA
"927" "Promotional Allowances" "Promotional Allowances _ Retailers" 2000 0
"928" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2000 0
"929" "Promotional Allowances" "Promotional Allowances _  Other" 2000 0
"930" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2000 0
"931" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2000 0
"932" "Public Entertainment" "Public Entertainment _ Adult-Only" 2000 0
"933" "Public Entertainment" "Public Entertainment _ General-Audience" 2000 0
"934" "Sponsorships" "Sponsorships" 2000 NA
"935" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2000 0
"936" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2000 0
"937" "Internet" "Company Website" 2000 0
"938" "Internet" "Internet _ Other" 2000 0
"939" "Telephone" "Telephone" 2000 NA
"940" "Price Discounts" "Price Discounts - Retailers" 2000 0
"941" "Price Discounts" "Price Discounts - Wholesalers" 2000 0
"942" "Audio-Visual" "Audio-Visual" 2000 0
"943" "Socail Media" "Socail Media" 2000 0
"944" "Other" "Other" 2000 63395
"945" "Total" "Total" 2000 9592627
"946" "Newspapers" "Newspapers" 2001 31676
"947" "Magazines" "Magazines" 2001 172853
"948" "Outdoor" "Outdoor" 2001 8241
"949" "Transit" "Transit" 2001 0
"950" "Point-of-Sale" "Point-of-Sale" 2001 284319
"951" "Promotional Allowances" "Promotional Allowances" 2001 4452709
"952" "Sampling Distribution" "Sampling Distribution" 2001 17175
"953" "Specialty Item Distribution" "Specialty Item Distribution" 2001 333394
"954" "Public Entertainment" "Public Entertainment" 2001 312366
"955" "Direct Mail" "Direct Mail" 2001 133947
"956" "Endorsements & Testimonials" "Endorsements & Testimonials" 2001 0
"957" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2001 0
"958" "Coupons & Retail-Value-Added" "Coupons" 2001 60211
"959" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2001 4761792
"960" "Internet" "Internet" 2001 841
"961" "Price Discounts" "Price Discounts" 2001 NA
"962" "Promotional Allowances" "Promotional Allowances _ Retailers" 2001 0
"963" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2001 0
"964" "Promotional Allowances" "Promotional Allowances _  Other" 2001 0
"965" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2001 0
"966" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2001 0
"967" "Public Entertainment" "Public Entertainment _ Adult-Only" 2001 0
"968" "Public Entertainment" "Public Entertainment _ General-Audience" 2001 0
"969" "Sponsorships" "Sponsorships" 2001 NA
"970" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2001 0
"971" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2001 0
"972" "Internet" "Company Website" 2001 0
"973" "Internet" "Internet _ Other" 2001 0
"974" "Telephone" "Telephone" 2001 NA
"975" "Price Discounts" "Price Discounts - Retailers" 2001 0
"976" "Price Discounts" "Price Discounts - Wholesalers" 2001 0
"977" "Audio-Visual" "Audio-Visual" 2001 0
"978" "Socail Media" "Socail Media" 2001 0
"979" "Other" "Other" 2001 104797
"980" "Total" "Total" 2001 11216220
"981" "Newspapers" "Newspapers" 2002 25538
"982" "Magazines" "Magazines" 2002 106852
"983" "Outdoor" "Outdoor" 2002 24192
"984" "Transit" "Transit" 2002 0
"985" "Point-of-Sale" "Point-of-Sale" 2002 260902
"986" "Promotional Allowances" "Promotional Allowances" 2002 0
"987" "Sampling Distribution" "Sampling Distribution" 2002 28777
"988" "Specialty Item Distribution" "Specialty Item Distribution" 2002 0
"989" "Public Entertainment" "Public Entertainment" 2002 0
"990" "Direct Mail" "Direct Mail" 2002 111319
"991" "Endorsements & Testimonials" "Endorsements & Testimonials" 2002 0
"992" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2002 0
"993" "Coupons & Retail-Value-Added" "Coupons" 2002 522246
"994" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2002 0
"995" "Internet" "Internet" 2002 0
"996" "Price Discounts" "Price Discounts" 2002 7873835
"997" "Promotional Allowances" "Promotional Allowances _ Retailers" 2002 1333097
"998" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2002 446327
"999" "Promotional Allowances" "Promotional Allowances _  Other" 2002 2767
"1000" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2002 49423
"1001" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2002 174201
"1002" "Public Entertainment" "Public Entertainment _ Adult-Only" 2002 219016
"1003" "Public Entertainment" "Public Entertainment _ General-Audience" 2002 34089
"1004" "Sponsorships" "Sponsorships" 2002 54247
"1005" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2002 1060304
"1006" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2002 24727
"1007" "Internet" "Company Website" 2002 940
"1008" "Internet" "Internet _ Other" 2002 0
"1009" "Telephone" "Telephone" 2002 679
"1010" "Price Discounts" "Price Discounts - Retailers" 2002 0
"1011" "Price Discounts" "Price Discounts - Wholesalers" 2002 0
"1012" "Audio-Visual" "Audio-Visual" 2002 0
"1013" "Socail Media" "Socail Media" 2002 0
"1014" "Other" "Other" 2002 112879
"1015" "Total" "Total" 2002 12466358
"1016" "Newspapers" "Newspapers" 2003 8251
"1017" "Magazines" "Magazines" 2003 156394
"1018" "Outdoor" "Outdoor" 2003 32599
"1019" "Transit" "Transit" 2003 0
"1020" "Point-of-Sale" "Point-of-Sale" 2003 165573
"1021" "Promotional Allowances" "Promotional Allowances" 2003 0
"1022" "Sampling Distribution" "Sampling Distribution" 2003 17853
"1023" "Specialty Item Distribution" "Specialty Item Distribution" 2003 0
"1024" "Public Entertainment" "Public Entertainment" 2003 0
"1025" "Direct Mail" "Direct Mail" 2003 92978
"1026" "Endorsements & Testimonials" "Endorsements & Testimonials" 2003 0
"1027" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2003 0
"1028" "Coupons & Retail-Value-Added" "Coupons" 2003 650653
"1029" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2003 0
"1030" "Internet" "Internet" 2003 0
"1031" "Price Discounts" "Price Discounts" 2003 10808239
"1032" "Promotional Allowances" "Promotional Allowances _ Retailers" 2003 1229327
"1033" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2003 683067
"1034" "Promotional Allowances" "Promotional Allowances _  Other" 2003 2786
"1035" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2003 9195
"1036" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2003 254956
"1037" "Public Entertainment" "Public Entertainment _ Adult-Only" 2003 150889
"1038" "Public Entertainment" "Public Entertainment _ General-Audience" 2003 32849
"1039" "Sponsorships" "Sponsorships" 2003 31371
"1040" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2003 677308
"1041" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2003 20535
"1042" "Internet" "Company Website" 2003 2851
"1043" "Internet" "Internet _ Other" 2003 0
"1044" "Telephone" "Telephone" 2003 760
"1045" "Price Discounts" "Price Discounts - Retailers" 2003 0
"1046" "Price Discounts" "Price Discounts - Wholesalers" 2003 0
"1047" "Audio-Visual" "Audio-Visual" 2003 0
"1048" "Socail Media" "Socail Media" 2003 0
"1049" "Other" "Other" 2003 117563
"1050" "Total" "Total" 2003 15145998
"1051" "Newspapers" "Newspapers" 2004 4913
"1052" "Magazines" "Magazines" 2004 957
"1053" "Outdoor" "Outdoor" 2004 17135
"1054" "Transit" "Transit" 2004 0
"1055" "Point-of-Sale" "Point-of-Sale" 2004 163621
"1056" "Promotional Allowances" "Promotional Allowances" 2004 0
"1057" "Sampling Distribution" "Sampling Distribution" 2004 11649
"1058" "Specialty Item Distribution" "Specialty Item Distribution" 2004 0
"1059" "Public Entertainment" "Public Entertainment" 2004 0
"1060" "Direct Mail" "Direct Mail" 2004 93836
"1061" "Endorsements & Testimonials" "Endorsements & Testimonials" 2004 0
"1062" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2004 0
"1063" "Coupons & Retail-Value-Added" "Coupons" 2004 751761
"1064" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2004 0
"1065" "Internet" "Internet" 2004 0
"1066" "Price Discounts" "Price Discounts" 2004 10932199
"1067" "Promotional Allowances" "Promotional Allowances _ Retailers" 2004 542213
"1068" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2004 387758
"1069" "Promotional Allowances" "Promotional Allowances _  Other" 2004 1323
"1070" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2004 8011
"1071" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2004 216577
"1072" "Public Entertainment" "Public Entertainment _ Adult-Only" 2004 140137
"1073" "Public Entertainment" "Public Entertainment _ General-Audience" 2004 115
"1074" "Sponsorships" "Sponsorships" 2004 28231
"1075" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2004 636221
"1076" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2004 14343
"1077" "Internet" "Company Website" 2004 1401
"1078" "Internet" "Internet _ Other" 2004 0
"1079" "Telephone" "Telephone" 2004 346
"1080" "Price Discounts" "Price Discounts - Retailers" 2004 0
"1081" "Price Discounts" "Price Discounts - Wholesalers" 2004 0
"1082" "Audio-Visual" "Audio-Visual" 2004 0
"1083" "Socail Media" "Socail Media" 2004 0
"1084" "Other" "Other" 2004 102369
"1085" "Total" "Total" 2004 14149859
"1086" "Newspapers" "Newspapers" 2005 1589
"1087" "Magazines" "Magazines" 2005 44777
"1088" "Outdoor" "Outdoor" 2005 9821
"1089" "Transit" "Transit" 2005 0
"1090" "Point-of-Sale" "Point-of-Sale" 2005 182193
"1091" "Promotional Allowances" "Promotional Allowances" 2005 0
"1092" "Sampling Distribution" "Sampling Distribution" 2005 17211
"1093" "Specialty Item Distribution" "Specialty Item Distribution" 2005 0
"1094" "Public Entertainment" "Public Entertainment" 2005 0
"1095" "Direct Mail" "Direct Mail" 2005 51844
"1096" "Endorsements & Testimonials" "Endorsements & Testimonials" 2005 0
"1097" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2005 0
"1098" "Coupons & Retail-Value-Added" "Coupons" 2005 870137
"1099" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2005 0
"1100" "Internet" "Internet" 2005 0
"1101" "Price Discounts" "Price Discounts" 2005 9776069
"1102" "Promotional Allowances" "Promotional Allowances _ Retailers" 2005 43583
"1103" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2005 410363
"1104" "Promotional Allowances" "Promotional Allowances _  Other" 2005 1493
"1105" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2005 5255
"1106" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2005 225279
"1107" "Public Entertainment" "Public Entertainment _ Adult-Only" 2005 214075
"1108" "Public Entertainment" "Public Entertainment _ General-Audience" 2005 152
"1109" "Sponsorships" "Sponsorships" 2005 30575
"1110" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2005 72501
"1111" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2005 7526
"1112" "Internet" "Company Website" 2005 2675
"1113" "Internet" "Internet _ Other" 2005 0
"1114" "Telephone" "Telephone" 2005 59
"1115" "Price Discounts" "Price Discounts - Retailers" 2005 0
"1116" "Price Discounts" "Price Discounts - Wholesalers" 2005 0
"1117" "Audio-Visual" "Audio-Visual" 2005 0
"1118" "Socail Media" "Socail Media" 2005 0
"1119" "Other" "Other" 2005 99025
"1120" "Total" "Total" 2005 13110958
"1121" "Newspapers" "Newspapers" 2006 NA
"1122" "Magazines" "Magazines" 2006 50293
"1123" "Outdoor" "Outdoor" 2006 935
"1124" "Transit" "Transit" 2006 0
"1125" "Point-of-Sale" "Point-of-Sale" 2006 242625
"1126" "Promotional Allowances" "Promotional Allowances" 2006 0
"1127" "Sampling Distribution" "Sampling Distribution" 2006 29431
"1128" "Specialty Item Distribution" "Specialty Item Distribution" 2006 0
"1129" "Public Entertainment" "Public Entertainment" 2006 0
"1130" "Direct Mail" "Direct Mail" 2006 102353
"1131" "Endorsements & Testimonials" "Endorsements & Testimonials" 2006 0
"1132" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2006 0
"1133" "Coupons & Retail-Value-Added" "Coupons" 2006 625777
"1134" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2006 0
"1135" "Internet" "Internet" 2006 0
"1136" "Price Discounts" "Price Discounts" 2006 9205106
"1137" "Promotional Allowances" "Promotional Allowances _ Retailers" 2006 434239
"1138" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2006 471204
"1139" "Promotional Allowances" "Promotional Allowances _  Other" 2006 NA
"1140" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2006 5546
"1141" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2006 163761
"1142" "Public Entertainment" "Public Entertainment _ Adult-Only" 2006 168098
"1143" "Public Entertainment" "Public Entertainment _ General-Audience" 2006 NA
"1144" "Sponsorships" "Sponsorships" 2006 NA
"1145" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2006 817792
"1146" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2006 14642
"1147" "Internet" "Company Website" 2006 6497
"1148" "Internet" "Internet _ Other" 2006 0
"1149" "Telephone" "Telephone" 2006 NA
"1150" "Price Discounts" "Price Discounts - Retailers" 2006 0
"1151" "Price Discounts" "Price Discounts - Wholesalers" 2006 0
"1152" "Audio-Visual" "Audio-Visual" 2006 0
"1153" "Socail Media" "Socail Media" 2006 0
"1154" "Other" "Other" 2006 151392
"1155" "Total" "Total" 2006 12489692
"1156" "Newspapers" "Newspapers" 2007 NA
"1157" "Magazines" "Magazines" 2007 47203
"1158" "Outdoor" "Outdoor" 2007 3041
"1159" "Transit" "Transit" 2007 0
"1160" "Point-of-Sale" "Point-of-Sale" 2007 198861
"1161" "Promotional Allowances" "Promotional Allowances" 2007 0
"1162" "Sampling Distribution" "Sampling Distribution" 2007 48719
"1163" "Specialty Item Distribution" "Specialty Item Distribution" 2007 0
"1164" "Public Entertainment" "Public Entertainment" 2007 0
"1165" "Direct Mail" "Direct Mail" 2007 81929
"1166" "Endorsements & Testimonials" "Endorsements & Testimonials" 2007 0
"1167" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2007 0
"1168" "Coupons & Retail-Value-Added" "Coupons" 2007 366779
"1169" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2007 0
"1170" "Internet" "Internet" 2007 0
"1171" "Price Discounts" "Price Discounts" 2007 7699362
"1172" "Promotional Allowances" "Promotional Allowances _ Retailers" 2007 454139
"1173" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2007 479032
"1174" "Promotional Allowances" "Promotional Allowances _  Other" 2007 NA
"1175" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2007 807
"1176" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2007 160047
"1177" "Public Entertainment" "Public Entertainment _ Adult-Only" 2007 160104
"1178" "Public Entertainment" "Public Entertainment _ General-Audience" 2007 NA
"1179" "Sponsorships" "Sponsorships" 2007 NA
"1180" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2007 981566
"1181" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2007 1772
"1182" "Internet" "Company Website" 2007 2351
"1183" "Internet" "Internet _ Other" 2007 NA
"1184" "Telephone" "Telephone" 2007 NA
"1185" "Price Discounts" "Price Discounts - Retailers" 2007 0
"1186" "Price Discounts" "Price Discounts - Wholesalers" 2007 0
"1187" "Audio-Visual" "Audio-Visual" 2007 0
"1188" "Socail Media" "Socail Media" 2007 0
"1189" "Other" "Other" 2007 155843
"1190" "Total" "Total" 2007 10864767
"1191" "Newspapers" "Newspapers" 2008 169
"1192" "Magazines" "Magazines" 2008 25478
"1193" "Outdoor" "Outdoor" 2008 2045
"1194" "Transit" "Transit" 2008 0
"1195" "Point-of-Sale" "Point-of-Sale" 2008 163709
"1196" "Promotional Allowances" "Promotional Allowances" 2008 0
"1197" "Sampling Distribution" "Sampling Distribution" 2008 54261
"1198" "Specialty Item Distribution" "Specialty Item Distribution" 2008 0
"1199" "Public Entertainment" "Public Entertainment" 2008 0
"1200" "Direct Mail" "Direct Mail" 2008 8992
"1201" "Endorsements & Testimonials" "Endorsements & Testimonials" 2008 0
"1202" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2008 0
"1203" "Coupons & Retail-Value-Added" "Coupons" 2008 359793
"1204" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2008 0
"1205" "Internet" "Internet" 2008 0
"1206" "Price Discounts" "Price Discounts" 2008 7171092
"1207" "Promotional Allowances" "Promotional Allowances _ Retailers" 2008 4815
"1208" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2008 448461
"1209" "Promotional Allowances" "Promotional Allowances _  Other" 2008 1245
"1210" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2008 7188
"1211" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2008 93798
"1212" "Public Entertainment" "Public Entertainment _ Adult-Only" 2008 154749
"1213" "Public Entertainment" "Public Entertainment _ General-Audience" 2008 NA
"1214" "Sponsorships" "Sponsorships" 2008 NA
"1215" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2008 721818
"1216" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2008 10983
"1217" "Internet" "Company Website" 2008 13172
"1218" "Internet" "Internet _ Other" 2008 NA
"1219" "Telephone" "Telephone" 2008 NA
"1220" "Price Discounts" "Price Discounts - Retailers" 2008 0
"1221" "Price Discounts" "Price Discounts - Wholesalers" 2008 0
"1222" "Audio-Visual" "Audio-Visual" 2008 0
"1223" "Socail Media" "Socail Media" 2008 0
"1224" "Other" "Other" 2008 143688
"1225" "Total" "Total" 2008 9943068
"1226" "Newspapers" "Newspapers" 2009 NA
"1227" "Magazines" "Magazines" 2009 3668
"1228" "Outdoor" "Outdoor" 2009 1812
"1229" "Transit" "Transit" 2009 0
"1230" "Point-of-Sale" "Point-of-Sale" 2009 110311
"1231" "Promotional Allowances" "Promotional Allowances" 2009 0
"1232" "Sampling Distribution" "Sampling Distribution" 2009 23784
"1233" "Specialty Item Distribution" "Specialty Item Distribution" 2009 0
"1234" "Public Entertainment" "Public Entertainment" 2009 0
"1235" "Direct Mail" "Direct Mail" 2009 68891
"1236" "Endorsements & Testimonials" "Endorsements & Testimonials" 2009 0
"1237" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2009 0
"1238" "Coupons & Retail-Value-Added" "Coupons" 2009 371028
"1239" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2009 0
"1240" "Internet" "Internet" 2009 0
"1241" "Price Discounts" "Price Discounts" 2009 6672428
"1242" "Promotional Allowances" "Promotional Allowances _ Retailers" 2009 428675
"1243" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2009 449006
"1244" "Promotional Allowances" "Promotional Allowances _  Other" 2009 965
"1245" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2009 7472
"1246" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2009 74956
"1247" "Public Entertainment" "Public Entertainment _ Adult-Only" 2009 134328
"1248" "Public Entertainment" "Public Entertainment _ General-Audience" 2009 NA
"1249" "Sponsorships" "Sponsorships" 2009 NA
"1250" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2009 11736
"1251" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2009 NA
"1252" "Internet" "Company Website" 2009 183
"1253" "Internet" "Internet _ Other" 2009 NA
"1254" "Telephone" "Telephone" 2009 NA
"1255" "Price Discounts" "Price Discounts - Retailers" 2009 0
"1256" "Price Discounts" "Price Discounts - Wholesalers" 2009 0
"1257" "Audio-Visual" "Audio-Visual" 2009 0
"1258" "Socail Media" "Socail Media" 2009 0
"1259" "Other" "Other" 2009 122002
"1260" "Total" "Total" 2009 8531375
"1261" "Newspapers" "Newspapers" 2010 NA
"1262" "Magazines" "Magazines" 2010 46463
"1263" "Outdoor" "Outdoor" 2010 1744
"1264" "Transit" "Transit" 2010 0
"1265" "Point-of-Sale" "Point-of-Sale" 2010 106634
"1266" "Promotional Allowances" "Promotional Allowances" 2010 0
"1267" "Sampling Distribution" "Sampling Distribution" 2010 22166
"1268" "Specialty Item Distribution" "Specialty Item Distribution" 2010 0
"1269" "Public Entertainment" "Public Entertainment" 2010 0
"1270" "Direct Mail" "Direct Mail" 2010 56482
"1271" "Endorsements & Testimonials" "Endorsements & Testimonials" 2010 0
"1272" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2010 0
"1273" "Coupons & Retail-Value-Added" "Coupons" 2010 235802
"1274" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2010 0
"1275" "Internet" "Internet" 2010 0
"1276" "Price Discounts" "Price Discounts" 2010 6490832
"1277" "Promotional Allowances" "Promotional Allowances _ Retailers" 2010 369992
"1278" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2010 41037
"1279" "Promotional Allowances" "Promotional Allowances _  Other" 2010 210
"1280" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2010 6322
"1281" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2010 65574
"1282" "Public Entertainment" "Public Entertainment _ Adult-Only" 2010 138889
"1283" "Public Entertainment" "Public Entertainment _ General-Audience" 2010 NA
"1284" "Sponsorships" "Sponsorships" 2010 0
"1285" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2010 NA
"1286" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2010 0
"1287" "Internet" "Company Website" 2010 20829
"1288" "Internet" "Internet _ Other" 2010 NA
"1289" "Telephone" "Telephone" 2010 NA
"1290" "Price Discounts" "Price Discounts - Retailers" 2010 0
"1291" "Price Discounts" "Price Discounts - Wholesalers" 2010 0
"1292" "Audio-Visual" "Audio-Visual" 2010 0
"1293" "Socail Media" "Socail Media" 2010 0
"1294" "Other" "Other" 2010 73291
"1295" "Total" "Total" 2010 8045602
"1296" "Newspapers" "Newspapers" 2011 549
"1297" "Magazines" "Magazines" 2011 23254
"1298" "Outdoor" "Outdoor" 2011 3100
"1299" "Transit" "Transit" 2011 0
"1300" "Point-of-Sale" "Point-of-Sale" 2011 76613
"1301" "Promotional Allowances" "Promotional Allowances" 2011 0
"1302" "Sampling Distribution" "Sampling Distribution" 2011 4515
"1303" "Specialty Item Distribution" "Specialty Item Distribution" 2011 0
"1304" "Public Entertainment" "Public Entertainment" 2011 0
"1305" "Direct Mail" "Direct Mail" 2011 51491
"1306" "Endorsements & Testimonials" "Endorsements & Testimonials" 2011 0
"1307" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2011 0
"1308" "Coupons & Retail-Value-Added" "Coupons" 2011 171222
"1309" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2011 0
"1310" "Internet" "Internet" 2011 0
"1311" "Price Discounts" "Price Discounts" 2011 6996942
"1312" "Promotional Allowances" "Promotional Allowances _ Retailers" 2011 356991
"1313" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2011 401006
"1314" "Promotional Allowances" "Promotional Allowances _  Other" 2011 NA
"1315" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2011 5607
"1316" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2011 44394
"1317" "Public Entertainment" "Public Entertainment _ Adult-Only" 2011 129822
"1318" "Public Entertainment" "Public Entertainment _ General-Audience" 2011 0
"1319" "Sponsorships" "Sponsorships" 2011 0
"1320" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2011 0
"1321" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2011 0
"1322" "Internet" "Company Website" 2011 21898
"1323" "Internet" "Internet _ Other" 2011 NA
"1324" "Telephone" "Telephone" 2011 NA
"1325" "Price Discounts" "Price Discounts - Retailers" 2011 0
"1326" "Price Discounts" "Price Discounts - Wholesalers" 2011 0
"1327" "Audio-Visual" "Audio-Visual" 2011 0
"1328" "Socail Media" "Socail Media" 2011 0
"1329" "Other" "Other" 2011 78220
"1330" "Total" "Total" 2011 8365624
"1331" "Newspapers" "Newspapers" 2012 NA
"1332" "Magazines" "Magazines" 2012 27943
"1333" "Outdoor" "Outdoor" 2012 2211
"1334" "Transit" "Transit" 2012 0
"1335" "Point-of-Sale" "Point-of-Sale" 2012 67877
"1336" "Promotional Allowances" "Promotional Allowances" 2012 0
"1337" "Sampling Distribution" "Sampling Distribution" 2012 NA
"1338" "Specialty Item Distribution" "Specialty Item Distribution" 2012 0
"1339" "Public Entertainment" "Public Entertainment" 2012 0
"1340" "Direct Mail" "Direct Mail" 2012 45582
"1341" "Endorsements & Testimonials" "Endorsements & Testimonials" 2012 NA
"1342" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2012 0
"1343" "Coupons & Retail-Value-Added" "Coupons" 2012 239618
"1344" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2012 0
"1345" "Internet" "Internet" 2012 0
"1346" "Price Discounts" "Price Discounts" 2012 7802044
"1347" "Promotional Allowances" "Promotional Allowances _ Retailers" 2012 35129
"1348" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2012 391146
"1349" "Promotional Allowances" "Promotional Allowances _  Other" 2012 NA
"1350" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2012 1683
"1351" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2012 25226
"1352" "Public Entertainment" "Public Entertainment _ Adult-Only" 2012 113581
"1353" "Public Entertainment" "Public Entertainment _ General-Audience" 2012 NA
"1354" "Sponsorships" "Sponsorships" 2012 0
"1355" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2012 0
"1356" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2012 0
"1357" "Internet" "Company Website" 2012 21403
"1358" "Internet" "Internet _ Other" 2012 1309
"1359" "Telephone" "Telephone" 2012 NA
"1360" "Price Discounts" "Price Discounts - Retailers" 2012 0
"1361" "Price Discounts" "Price Discounts - Wholesalers" 2012 0
"1362" "Audio-Visual" "Audio-Visual" 2012 NA
"1363" "Socail Media" "Socail Media" 2012 0
"1364" "Other" "Other" 2012 93182
"1365" "Total" "Total" 2012 9167824
"1366" "Newspapers" "Newspapers" 2013 NA
"1367" "Magazines" "Magazines" 2013 50609
"1368" "Outdoor" "Outdoor" 2013 2269
"1369" "Transit" "Transit" 2013 0
"1370" "Point-of-Sale" "Point-of-Sale" 2013 55684
"1371" "Promotional Allowances" "Promotional Allowances" 2013 0
"1372" "Sampling Distribution" "Sampling Distribution" 2013 NA
"1373" "Specialty Item Distribution" "Specialty Item Distribution" 2013 0
"1374" "Public Entertainment" "Public Entertainment" 2013 0
"1375" "Direct Mail" "Direct Mail" 2013 38294
"1376" "Endorsements & Testimonials" "Endorsements & Testimonials" 2013 0
"1377" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2013 0
